,pro,con
1165,boxes,product management
1166,great location,mindsets
1167,good relationships,room
1168,the skillset,past culture
1169,consultative selling,conflict
1170,this position,engagement
1171,success,asia
1172,the way,night phone calls
1173,bonus structure,difference
1174,25,work space
1175,directors,many
1176,40,too much growth
1177,vps,forecasting practices
1178,early morning calls,the deal
1179,late night,attitude
1180,global activities,old dell
1181,business vision,new emc
1182,flexible workplace,the flies feeling
1183,overtime,account
1184,remote options,meritocracy
1185,growth possibilities,nepotism
1186,excellent work life balance,corporate america
1187,standard bonus,such large company
1188,plan,promotion opportunities
1189,employer match,no viability
1190,good bonus,multiple reorganizations
1191,global team,vision changes
1192,acquisitions,process
1193,fantastics,respect
1194,overall really great,all perspective
1195,work hours,little hairy
1196,great friendly people,divisions
1197,team spirit,any company
1198,one another,game changer
1199,no competitive tension,interview process
1200,senior executives,grind
1201,initiatives,all tech companies
1202,ergs,major shift
1203,conferences,every few years
1204,online training platforms,no exception
1205,project management,no career path
1206,simplified ip development,recruiters
1207,engineering,grasp
1208,orgs,the positions
1209,innovative engineers,basic customer service skills
1210,all experience levels,relation
1211,developing patents,candidates
1212,different company,question
1213,13 years,few times
1214,great resources,answers
1215,diverse projects,any change
1216,week variability,the horizon
1217,addition,the kinks
1218,profit,nice perks
1219,schedule good pay,much innovation
1220,great salary,salary role
1221,initial pay,call
1222,fair salary,some communication issues
1223,diverse culture,changing management
1224,ethical company,skill
1225,big vision,petty politics
1226,future,the level
1227,10,michael dell
1228,other corps pay,line
1229,the same roles,downside
1230,connected workplace program,the it
1231,workers,industry
1232,job sharing,the salary
1233,competitive people,the different divisions
1234,long time,policies
1235,affordable medical benefits,salary expectation
1236,big focus,the smaller business
1237,the customer,medium business division
1238,job opportunity,unrealistic quotas
1239,95,nearly impossible
1240,hard workers,other segments
1241,decent benefits,entry level
1242,the workload,certain management
1243,positive experience,employee growth
1244,great ceo,groups
1245,great vision,different countries
1246,most areas,wfh
1247,the company tons,threatening tactic
1248,equal opportunity,reps
1249,engineering rotations,any standards
1250,enterprise business,alone
1251,achievement recognition,those employees
1252,team outings,any bonus
1253,round place,company trips
1254,good team members,behavior
1255,overall culture,ethics
1256,young crowd,morals
1257,ambition,equality
1258,health benefits,bullying
1259,free lunch,poor behavior
1260,quarterly team outings,rr
1261,hands,the usual politics
